pipeline,window_s,outer_fold,study_name,number,value,state,params_band,params_dropout,params_hid,params_out,params_s_idx,user_attrs_outer_fold,user_attrs_window_s
graph,4,1,eeg_graph_win4_fold1_20251021-070241,0,-0.8373349576176995,COMPLETE,theta,0.29818249672071007,16,8,2,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,1,-0.5823250509471612,COMPLETE,alpha,0.2846450412719998,12,12,0,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,2,-0.4066415668523073,COMPLETE,gamma,0.3058779981600017,16,12,0,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,3,-0.9330618083366549,COMPLETE,delta,0.31253303307632646,12,8,0,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,4,-0.6330708020030192,COMPLETE,alpha,0.3506857343847617,8,12,2,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,5,-0.7010181759978172,COMPLETE,theta,0.3272214925161949,16,12,0,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,6,-0.44272516475988394,COMPLETE,gamma,0.37075664739260933,16,12,1,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,7,-0.5519329752976069,COMPLETE,alpha,0.3339342241915651,12,12,2,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,8,-0.8147478855604972,COMPLETE,theta,0.3742909703912519,8,12,2,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,9,-0.3995006390014238,COMPLETE,gamma,0.3078646464236612,16,8,0,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,10,-0.8772280528622419,COMPLETE,delta,0.3279618509634565,12,8,3,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,11,-0.8772356427171811,COMPLETE,delta,0.3296203606227992,12,8,3,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,12,-0.8771503179028967,COMPLETE,delta,0.3442789128353681,12,8,3,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,13,-0.813366408672023,COMPLETE,beta,0.3187594204063961,12,8,3,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,14,-0.9600252350190702,COMPLETE,delta,0.3514083183150912,12,8,1,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,15,-0.9595911146514764,COMPLETE,delta,0.35787226822315443,12,8,1,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,16,-0.9596928843274314,COMPLETE,delta,0.35979948690790176,12,8,1,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,17,-0.7447203396924502,COMPLETE,beta,0.362084549754675,8,8,1,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,18,-0.9615188945031199,COMPLETE,delta,0.34413278673739733,12,8,1,1,4
graph,4,1,eeg_graph_win4_fold1_20251021-070241,19,-0.9615188945031199,COMPLETE,delta,0.34362252741197324,12,8,1,1,4
